,cid,label,left,right,top,bottom,width,height,score
7,2,car,836,1008,483,583,172,100,0.93972975
8,2,car,837,1009,484,584,172,100,0.9276806
9,2,car,826,1015,485,583,189,98,0.9468186
10,2,car,825,1015,485,583,190,98,0.95079404
11,2,car,824,1016,485,583,192,98,0.9334983
12,2,car,825,1016,484,583,191,99,0.95586693
13,2,car,948,1218,492,591,270,99,0.88811177
14,2,car,948,1219,492,590,271,98,0.92152417
15,2,car,949,1216,493,590,267,97,0.89358896
0,2,car,825,1014,484,582,189,98,0.96434176
1,2,car,837,1009,483,584,172,101,0.9326966
2,2,car,826,1015,485,584,189,99,0.94670254
3,2,car,837,1010,483,583,173,100,0.9346093
4,2,car,822,1014,484,583,192,99,0.94938517
5,2,car,823,1016,485,583,193,98,0.96238464
6,2,car,827,1016,485,584,189,99,0.9449624
7,2,car,837,1011,483,584,174,101,0.941728
8,2,car,836,1008,483,583,172,100,0.93972975
9,2,car,837,1009,484,584,172,100,0.9276806
10,2,car,826,1015,485,583,189,98,0.9468186
11,2,car,825,1015,485,583,190,98,0.95079404
12,2,car,824,1016,485,583,192,98,0.9334983
13,2,car,825,1016,484,583,191,99,0.95586693
14,2,car,948,1218,492,591,270,99,0.88811177
15,2,car,948,1219,492,590,271,98,0.92152417
16,2,car,949,1216,493,590,267,97,0.89358896
0,2,car,837,1010,483,584,173,101,0.9337229
1,2,car,825,1014,484,582,189,98,0.96434176
2,2,car,837,1009,483,584,172,101,0.9326966
3,2,car,826,1015,485,584,189,99,0.94670254
4,2,car,837,1010,483,583,173,100,0.9346093
5,2,car,822,1014,484,583,192,99,0.94938517
6,2,car,823,1016,485,583,193,98,0.96238464
7,2,car,827,1016,485,584,189,99,0.9449624
8,2,car,837,1011,483,584,174,101,0.941728
9,2,car,836,1008,483,583,172,100,0.93972975
10,2,car,837,1009,484,584,172,100,0.9276806
11,2,car,826,1015,485,583,189,98,0.9468186
12,2,car,825,1015,485,583,190,98,0.95079404
13,2,car,824,1016,485,583,192,98,0.9334983
14,2,car,825,1016,484,583,191,99,0.95586693
15,2,car,948,1218,492,591,270,99,0.88811177
16,2,car,948,1219,492,590,271,98,0.92152417
17,2,car,949,1216,493,590,267,97,0.89358896
0,2,car,837,1009,483,584,172,101,0.94395465
1,2,car,837,1010,483,584,173,101,0.9337229
2,2,car,825,1014,484,582,189,98,0.96434176
3,2,car,837,1009,483,584,172,101,0.9326966
4,2,car,826,1015,485,584,189,99,0.94670254
5,2,car,837,1010,483,583,173,100,0.9346093
6,2,car,822,1014,484,583,192,99,0.94938517
7,2,car,823,1016,485,583,193,98,0.96238464
8,2,car,827,1016,485,584,189,99,0.9449624
9,2,car,837,1011,483,584,174,101,0.941728
10,2,car,836,1008,483,583,172,100,0.93972975
11,2,car,837,1009,484,584,172,100,0.9276806
12,2,car,826,1015,485,583,189,98,0.9468186
13,2,car,825,1015,485,583,190,98,0.95079404
14,2,car,824,1016,485,583,192,98,0.9334983
15,2,car,825,1016,484,583,191,99,0.95586693
16,2,car,948,1218,492,591,270,99,0.88811177
17,2,car,948,1219,492,590,271,98,0.92152417
18,2,car,949,1216,493,590,267,97,0.89358896
0,2,car,825,1015,484,583,190,99,0.94112027
1,2,car,837,1009,483,584,172,101,0.94395465
2,2,car,837,1010,483,584,173,101,0.9337229
3,2,car,825,1014,484,582,189,98,0.96434176
4,2,car,837,1009,483,584,172,101,0.9326966
5,2,car,826,1015,485,584,189,99,0.94670254
6,2,car,837,1010,483,583,173,100,0.9346093
7,2,car,822,1014,484,583,192,99,0.94938517
8,2,car,823,1016,485,583,193,98,0.96238464
9,2,car,827,1016,485,584,189,99,0.9449624
10,2,car,837,1011,483,584,174,101,0.941728
11,2,car,836,1008,483,583,172,100,0.93972975
12,2,car,837,1009,484,584,172,100,0.9276806
13,2,car,826,1015,485,583,189,98,0.9468186
14,2,car,825,1015,485,583,190,98,0.95079404
15,2,car,824,1016,485,583,192,98,0.9334983
16,2,car,825,1016,484,583,191,99,0.95586693
17,2,car,948,1218,492,591,270,99,0.88811177
18,2,car,948,1219,492,590,271,98,0.92152417
19,2,car,949,1216,493,590,267,97,0.89358896
0,2,car,825,1014,485,583,189,98,0.9472759
1,2,car,825,1015,484,583,190,99,0.94112027
2,2,car,837,1009,483,584,172,101,0.94395465
3,2,car,837,1010,483,584,173,101,0.9337229
4,2,car,825,1014,484,582,189,98,0.96434176
5,2,car,837,1009,483,584,172,101,0.9326966
6,2,car,826,1015,485,584,189,99,0.94670254
7,2,car,837,1010,483,583,173,100,0.9346093
8,2,car,822,1014,484,583,192,99,0.94938517
9,2,car,823,1016,485,583,193,98,0.96238464
10,2,car,827,1016,485,584,189,99,0.9449624
11,2,car,837,1011,483,584,174,101,0.941728
12,2,car,836,1008,483,583,172,100,0.93972975
13,2,car,837,1009,484,584,172,100,0.9276806
14,2,car,826,1015,485,583,189,98,0.9468186
15,2,car,825,1015,485,583,190,98,0.95079404
16,2,car,824,1016,485,583,192,98,0.9334983
17,2,car,825,1016,484,583,191,99,0.95586693
18,2,car,948,1218,492,591,270,99,0.88811177
19,2,car,948,1219,492,590,271,98,0.92152417
20,2,car,949,1216,493,590,267,97,0.89358896
0,2,car,824,1014,486,583,190,97,0.9582431
1,2,car,825,1014,485,583,189,98,0.9472759
2,2,car,825,1015,484,583,190,99,0.94112027
3,2,car,837,1009,483,584,172,101,0.94395465
4,2,car,837,1010,483,584,173,101,0.9337229
5,2,car,825,1014,484,582,189,98,0.96434176
6,2,car,837,1009,483,584,172,101,0.9326966
7,2,car,826,1015,485,584,189,99,0.94670254
8,2,car,837,1010,483,583,173,100,0.9346093
9,2,car,822,1014,484,583,192,99,0.94938517
10,2,car,823,1016,485,583,193,98,0.96238464
11,2,car,827,1016,485,584,189,99,0.9449624
12,2,car,837,1011,483,584,174,101,0.941728
13,2,car,836,1008,483,583,172,100,0.93972975
14,2,car,837,1009,484,584,172,100,0.9276806
15,2,car,826,1015,485,583,189,98,0.9468186
16,2,car,825,1015,485,583,190,98,0.95079404
17,2,car,824,1016,485,583,192,98,0.9334983
18,2,car,825,1016,484,583,191,99,0.95586693
19,2,car,948,1218,492,591,270,99,0.88811177
20,2,car,948,1219,492,590,271,98,0.92152417
21,2,car,949,1216,493,590,267,97,0.89358896
0,2,car,821,1014,482,583,193,101,0.94895005
1,2,car,824,1014,486,583,190,97,0.9582431
2,2,car,825,1014,485,583,189,98,0.9472759
3,2,car,825,1015,484,583,190,99,0.94112027
4,2,car,837,1009,483,584,172,101,0.94395465
5,2,car,837,1010,483,584,173,101,0.9337229
6,2,car,825,1014,484,582,189,98,0.96434176
7,2,car,837,1009,483,584,172,101,0.9326966
8,2,car,826,1015,485,584,189,99,0.94670254
9,2,car,837,1010,483,583,173,100,0.9346093
10,2,car,822,1014,484,583,192,99,0.94938517
11,2,car,823,1016,485,583,193,98,0.96238464
12,2,car,827,1016,485,584,189,99,0.9449624
13,2,car,837,1011,483,584,174,101,0.941728
14,2,car,836,1008,483,583,172,100,0.93972975
15,2,car,837,1009,484,584,172,100,0.9276806
16,2,car,826,1015,485,583,189,98,0.9468186
17,2,car,825,1015,485,583,190,98,0.95079404
18,2,car,824,1016,485,583,192,98,0.9334983
19,2,car,825,1016,484,583,191,99,0.95586693
20,2,car,948,1218,492,591,270,99,0.88811177
21,2,car,948,1219,492,590,271,98,0.92152417
22,2,car,949,1216,493,590,267,97,0.89358896
0,2,car,825,1015,485,584,190,99,0.9363741
1,2,car,821,1014,482,583,193,101,0.94895005
2,2,car,824,1014,486,583,190,97,0.9582431
3,2,car,825,1014,485,583,189,98,0.9472759
4,2,car,825,1015,484,583,190,99,0.94112027
5,2,car,837,1009,483,584,172,101,0.94395465
6,2,car,837,1010,483,584,173,101,0.9337229
7,2,car,825,1014,484,582,189,98,0.96434176
8,2,car,837,1009,483,584,172,101,0.9326966
9,2,car,826,1015,485,584,189,99,0.94670254
10,2,car,837,1010,483,583,173,100,0.9346093
11,2,car,822,1014,484,583,192,99,0.94938517
12,2,car,823,1016,485,583,193,98,0.96238464
13,2,car,827,1016,485,584,189,99,0.9449624
14,2,car,837,1011,483,584,174,101,0.941728
15,2,car,836,1008,483,583,172,100,0.93972975
16,2,car,837,1009,484,584,172,100,0.9276806
17,2,car,826,1015,485,583,189,98,0.9468186
18,2,car,825,1015,485,583,190,98,0.95079404
19,2,car,824,1016,485,583,192,98,0.9334983
20,2,car,825,1016,484,583,191,99,0.95586693
21,2,car,948,1218,492,591,270,99,0.88811177
22,2,car,948,1219,492,590,271,98,0.92152417
23,2,car,949,1216,493,590,267,97,0.89358896
0,2,car,823,1013,484,583,190,99,0.9551676
1,2,car,825,1015,485,584,190,99,0.9363741
2,2,car,821,1014,482,583,193,101,0.94895005
3,2,car,824,1014,486,583,190,97,0.9582431
4,2,car,825,1014,485,583,189,98,0.9472759
5,2,car,825,1015,484,583,190,99,0.94112027
6,2,car,837,1009,483,584,172,101,0.94395465
7,2,car,837,1010,483,584,173,101,0.9337229
8,2,car,825,1014,484,582,189,98,0.96434176
9,2,car,837,1009,483,584,172,101,0.9326966
10,2,car,826,1015,485,584,189,99,0.94670254
11,2,car,837,1010,483,583,173,100,0.9346093
12,2,car,822,1014,484,583,192,99,0.94938517
13,2,car,823,1016,485,583,193,98,0.96238464
14,2,car,827,1016,485,584,189,99,0.9449624
15,2,car,837,1011,483,584,174,101,0.941728
16,2,car,836,1008,483,583,172,100,0.93972975
17,2,car,837,1009,484,584,172,100,0.9276806
18,2,car,826,1015,485,583,189,98,0.9468186
19,2,car,825,1015,485,583,190,98,0.95079404
20,2,car,824,1016,485,583,192,98,0.9334983
21,2,car,825,1016,484,583,191,99,0.95586693
22,2,car,948,1218,492,591,270,99,0.88811177
23,2,car,948,1219,492,590,271,98,0.92152417
24,2,car,949,1216,493,590,267,97,0.89358896
0,2,car,845,1014,484,585,169,101,0.9497875
1,2,car,823,1013,484,583,190,99,0.9551676
2,2,car,825,1015,485,584,190,99,0.9363741
3,2,car,821,1014,482,583,193,101,0.94895005
4,2,car,824,1014,486,583,190,97,0.9582431
5,2,car,825,1014,485,583,189,98,0.9472759
6,2,car,825,1015,484,583,190,99,0.94112027
7,2,car,837,1009,483,584,172,101,0.94395465
8,2,car,837,1010,483,584,173,101,0.9337229
9,2,car,825,1014,484,582,189,98,0.96434176
10,2,car,837,1009,483,584,172,101,0.9326966
11,2,car,826,1015,485,584,189,99,0.94670254
12,2,car,837,1010,483,583,173,100,0.9346093
13,2,car,822,1014,484,583,192,99,0.94938517
14,2,car,823,1016,485,583,193,98,0.96238464
15,2,car,827,1016,485,584,189,99,0.9449624
16,2,car,837,1011,483,584,174,101,0.941728
17,2,car,836,1008,483,583,172,100,0.93972975
18,2,car,837,1009,484,584,172,100,0.9276806
19,2,car,826,1015,485,583,189,98,0.9468186
20,2,car,825,1015,485,583,190,98,0.95079404
21,2,car,824,1016,485,583,192,98,0.9334983
22,2,car,825,1016,484,583,191,99,0.95586693
23,2,car,948,1218,492,591,270,99,0.88811177
24,2,car,948,1219,492,590,271,98,0.92152417
25,2,car,949,1216,493,590,267,97,0.89358896
0,2,car,837,1010,483,584,173,101,0.92712927
1,2,car,845,1014,484,585,169,101,0.9497875
2,2,car,823,1013,484,583,190,99,0.9551676
3,2,car,825,1015,485,584,190,99,0.9363741
4,2,car,821,1014,482,583,193,101,0.94895005
5,2,car,824,1014,486,583,190,97,0.9582431
6,2,car,825,1014,485,583,189,98,0.9472759
7,2,car,825,1015,484,583,190,99,0.94112027
8,2,car,837,1009,483,584,172,101,0.94395465
9,2,car,837,1010,483,584,173,101,0.9337229
10,2,car,825,1014,484,582,189,98,0.96434176
11,2,car,837,1009,483,584,172,101,0.9326966
12,2,car,826,1015,485,584,189,99,0.94670254
13,2,car,837,1010,483,583,173,100,0.9346093
14,2,car,822,1014,484,583,192,99,0.94938517
15,2,car,823,1016,485,583,193,98,0.96238464
16,2,car,827,1016,485,584,189,99,0.9449624
17,2,car,837,1011,483,584,174,101,0.941728
18,2,car,836,1008,483,583,172,100,0.93972975
19,2,car,837,1009,484,584,172,100,0.9276806
20,2,car,826,1015,485,583,189,98,0.9468186
21,2,car,825,1015,485,583,190,98,0.95079404
22,2,car,824,1016,485,583,192,98,0.9334983
23,2,car,825,1016,484,583,191,99,0.95586693
24,2,car,948,1218,492,591,270,99,0.88811177
25,2,car,948,1219,492,590,271,98,0.92152417
26,2,car,949,1216,493,590,267,97,0.89358896
0,2,car,827,1016,484,582,189,98,0.95167637
1,2,car,837,1010,483,584,173,101,0.92712927
