,cid,label,left,right,top,bottom,width,height,score
0,2,car,489,630,494,597,141,103,0.7589497
0,2,car,489,630,494,595,141,101,0.73820925
1,2,car,489,630,494,597,141,103,0.7589497
0,2,car,490,629,492,596,139,104,0.7399865
1,2,car,489,630,494,595,141,101,0.73820925
2,2,car,489,630,494,597,141,103,0.7589497
0,2,car,932,1156,484,583,224,99,0.76671946
1,2,car,490,629,492,596,139,104,0.7399865
2,2,car,489,630,494,595,141,101,0.73820925
3,2,car,489,630,494,597,141,103,0.7589497
0,2,car,931,1155,484,582,224,98,0.72715425
1,2,car,932,1156,484,583,224,99,0.76671946
2,2,car,490,629,492,596,139,104,0.7399865
3,2,car,489,630,494,595,141,101,0.73820925
4,2,car,489,630,494,597,141,103,0.7589497
0,2,car,930,1158,483,583,228,100,0.72813904
1,2,car,931,1155,484,582,224,98,0.72715425
2,2,car,932,1156,484,583,224,99,0.76671946
3,2,car,490,629,492,596,139,104,0.7399865
4,2,car,489,630,494,595,141,101,0.73820925
5,2,car,489,630,494,597,141,103,0.7589497
0,2,car,934,1152,486,582,218,96,0.84340096
1,2,car,930,1158,483,583,228,100,0.72813904
2,2,car,931,1155,484,582,224,98,0.72715425
3,2,car,932,1156,484,583,224,99,0.76671946
4,2,car,490,629,492,596,139,104,0.7399865
5,2,car,489,630,494,595,141,101,0.73820925
6,2,car,489,630,494,597,141,103,0.7589497
0,2,car,932,1156,484,583,224,99,0.7341139
1,2,car,934,1152,486,582,218,96,0.84340096
2,2,car,930,1158,483,583,228,100,0.72813904
3,2,car,931,1155,484,582,224,98,0.72715425
4,2,car,932,1156,484,583,224,99,0.76671946
5,2,car,490,629,492,596,139,104,0.7399865
6,2,car,489,630,494,595,141,101,0.73820925
7,2,car,489,630,494,597,141,103,0.7589497
0,2,car,910,1153,484,583,243,99,0.7323254
1,2,car,932,1156,484,583,224,99,0.7341139
2,2,car,934,1152,486,582,218,96,0.84340096
3,2,car,930,1158,483,583,228,100,0.72813904
4,2,car,931,1155,484,582,224,98,0.72715425
5,2,car,932,1156,484,583,224,99,0.76671946
6,2,car,490,629,492,596,139,104,0.7399865
7,2,car,489,630,494,595,141,101,0.73820925
8,2,car,489,630,494,597,141,103,0.7589497
0,2,car,912,1150,485,583,238,98,0.73681813
1,2,car,910,1153,484,583,243,99,0.7323254
2,2,car,932,1156,484,583,224,99,0.7341139
3,2,car,934,1152,486,582,218,96,0.84340096
4,2,car,930,1158,483,583,228,100,0.72813904
5,2,car,931,1155,484,582,224,98,0.72715425
6,2,car,932,1156,484,583,224,99,0.76671946
