,cid,label,left,right,top,bottom,width,height,score
0,2,car,956,1171,500,587,215,87,0.97938144
0,2,car,956,1173,500,587,217,87,0.9795941
1,2,car,956,1171,500,587,215,87,0.97938144
0,2,car,956,1172,500,587,216,87,0.97688836
1,2,car,956,1173,500,587,217,87,0.9795941
2,2,car,956,1171,500,587,215,87,0.97938144
0,2,car,880,1173,507,614,293,107,0.97141933
1,2,car,956,1172,500,587,216,87,0.97688836
2,2,car,956,1173,500,587,217,87,0.9795941
3,2,car,956,1171,500,587,215,87,0.97938144
0,2,car,879,1173,507,615,294,108,0.97094506
1,2,car,880,1173,507,614,293,107,0.97141933
2,2,car,956,1172,500,587,216,87,0.97688836
3,2,car,956,1173,500,587,217,87,0.9795941
4,2,car,956,1171,500,587,215,87,0.97938144
0,2,car,882,1171,508,615,289,107,0.9711044
1,2,car,879,1173,507,615,294,108,0.97094506
2,2,car,880,1173,507,614,293,107,0.97141933
3,2,car,956,1172,500,587,216,87,0.97688836
4,2,car,956,1173,500,587,217,87,0.9795941
5,2,car,956,1171,500,587,215,87,0.97938144
0,2,car,880,1172,506,615,292,109,0.96591324
1,2,car,882,1171,508,615,289,107,0.9711044
2,2,car,879,1173,507,615,294,108,0.97094506
3,2,car,880,1173,507,614,293,107,0.97141933
4,2,car,956,1172,500,587,216,87,0.97688836
5,2,car,956,1173,500,587,217,87,0.9795941
6,2,car,956,1171,500,587,215,87,0.97938144
0,2,car,880,1171,506,614,291,108,0.9752451
1,2,car,880,1172,506,615,292,109,0.96591324
2,2,car,882,1171,508,615,289,107,0.9711044
3,2,car,879,1173,507,615,294,108,0.97094506
4,2,car,880,1173,507,614,293,107,0.97141933
5,2,car,956,1172,500,587,216,87,0.97688836
6,2,car,956,1173,500,587,217,87,0.9795941
7,2,car,956,1171,500,587,215,87,0.97938144
0,2,car,881,1172,507,614,291,107,0.9721763
1,2,car,880,1171,506,614,291,108,0.9752451
2,2,car,880,1172,506,615,292,109,0.96591324
3,2,car,882,1171,508,615,289,107,0.9711044
4,2,car,879,1173,507,615,294,108,0.97094506
5,2,car,880,1173,507,614,293,107,0.97141933
6,2,car,956,1172,500,587,216,87,0.97688836
7,2,car,956,1173,500,587,217,87,0.9795941
8,2,car,956,1171,500,587,215,87,0.97938144
0,2,car,878,1172,506,614,294,108,0.97573346
1,2,car,881,1172,507,614,291,107,0.9721763
2,2,car,880,1171,506,614,291,108,0.9752451
3,2,car,880,1172,506,615,292,109,0.96591324
4,2,car,882,1171,508,615,289,107,0.9711044
5,2,car,879,1173,507,615,294,108,0.97094506
6,2,car,880,1173,507,614,293,107,0.97141933
7,2,car,956,1172,500,587,216,87,0.97688836
8,2,car,956,1173,500,587,217,87,0.9795941
9,2,car,956,1171,500,587,215,87,0.97938144
0,2,car,879,1174,506,614,295,108,0.9783596
1,2,car,878,1172,506,614,294,108,0.97573346
2,2,car,881,1172,507,614,291,107,0.9721763
3,2,car,880,1171,506,614,291,108,0.9752451
4,2,car,880,1172,506,615,292,109,0.96591324
5,2,car,882,1171,508,615,289,107,0.9711044
6,2,car,879,1173,507,615,294,108,0.97094506
7,2,car,880,1173,507,614,293,107,0.97141933
8,2,car,956,1172,500,587,216,87,0.97688836
9,2,car,956,1173,500,587,217,87,0.9795941
10,2,car,956,1171,500,587,215,87,0.97938144
0,2,car,880,1173,506,614,293,108,0.9725576
1,2,car,879,1174,506,614,295,108,0.9783596
2,2,car,878,1172,506,614,294,108,0.97573346
3,2,car,881,1172,507,614,291,107,0.9721763
4,2,car,880,1171,506,614,291,108,0.9752451
5,2,car,880,1172,506,615,292,109,0.96591324
6,2,car,882,1171,508,615,289,107,0.9711044
7,2,car,879,1173,507,615,294,108,0.97094506
8,2,car,880,1173,507,614,293,107,0.97141933
9,2,car,956,1172,500,587,216,87,0.97688836
10,2,car,956,1173,500,587,217,87,0.9795941
11,2,car,956,1171,500,587,215,87,0.97938144
0,2,car,880,1172,506,614,292,108,0.9684825
1,2,car,880,1173,506,614,293,108,0.9725576
2,2,car,879,1174,506,614,295,108,0.9783596
3,2,car,878,1172,506,614,294,108,0.97573346
4,2,car,881,1172,507,614,291,107,0.9721763
5,2,car,880,1171,506,614,291,108,0.9752451
6,2,car,880,1172,506,615,292,109,0.96591324
7,2,car,882,1171,508,615,289,107,0.9711044
8,2,car,879,1173,507,615,294,108,0.97094506
9,2,car,880,1173,507,614,293,107,0.97141933
10,2,car,956,1172,500,587,216,87,0.97688836
11,2,car,956,1173,500,587,217,87,0.9795941
12,2,car,956,1171,500,587,215,87,0.97938144
0,2,car,880,1170,507,614,290,107,0.9785986
1,2,car,880,1172,506,614,292,108,0.9684825
2,2,car,880,1173,506,614,293,108,0.9725576
3,2,car,879,1174,506,614,295,108,0.9783596
4,2,car,878,1172,506,614,294,108,0.97573346
5,2,car,881,1172,507,614,291,107,0.9721763
6,2,car,880,1171,506,614,291,108,0.9752451
7,2,car,880,1172,506,615,292,109,0.96591324
8,2,car,882,1171,508,615,289,107,0.9711044
9,2,car,879,1173,507,615,294,108,0.97094506
10,2,car,880,1173,507,614,293,107,0.97141933
11,2,car,956,1172,500,587,216,87,0.97688836
12,2,car,956,1173,500,587,217,87,0.9795941
13,2,car,956,1171,500,587,215,87,0.97938144
0,2,car,880,1173,508,615,293,107,0.9780595
1,2,car,880,1170,507,614,290,107,0.9785986
2,2,car,880,1172,506,614,292,108,0.9684825
3,2,car,880,1173,506,614,293,108,0.9725576
4,2,car,879,1174,506,614,295,108,0.9783596
5,2,car,878,1172,506,614,294,108,0.97573346
6,2,car,881,1172,507,614,291,107,0.9721763
7,2,car,880,1171,506,614,291,108,0.9752451
8,2,car,880,1172,506,615,292,109,0.96591324
9,2,car,882,1171,508,615,289,107,0.9711044
10,2,car,879,1173,507,615,294,108,0.97094506
11,2,car,880,1173,507,614,293,107,0.97141933
12,2,car,956,1172,500,587,216,87,0.97688836
13,2,car,956,1173,500,587,217,87,0.9795941
14,2,car,956,1171,500,587,215,87,0.97938144
0,2,car,881,1171,507,614,290,107,0.97848165
1,2,car,880,1173,508,615,293,107,0.9780595
2,2,car,880,1170,507,614,290,107,0.9785986
3,2,car,880,1172,506,614,292,108,0.9684825
4,2,car,880,1173,506,614,293,108,0.9725576
5,2,car,879,1174,506,614,295,108,0.9783596
6,2,car,878,1172,506,614,294,108,0.97573346
