,cid,label,left,right,top,bottom,width,height,score
0,2,car,535,625,494,562,90,68,0.7970169
0,2,car,534,626,495,562,92,67,0.8566863
1,2,car,535,625,494,562,90,68,0.7970169
0,2,car,555,658,503,581,103,78,0.929292
1,2,car,534,626,495,562,92,67,0.8566863
2,2,car,535,625,494,562,90,68,0.7970169
0,2,car,555,658,503,582,103,79,0.8925061
1,2,car,555,658,503,581,103,78,0.929292
2,2,car,534,626,495,562,92,67,0.8566863
3,2,car,535,625,494,562,90,68,0.7970169
0,2,car,554,658,503,581,104,78,0.92574996
1,2,car,555,658,503,582,103,79,0.8925061
2,2,car,555,658,503,581,103,78,0.929292
3,2,car,534,626,495,562,92,67,0.8566863
4,2,car,535,625,494,562,90,68,0.7970169
0,2,car,555,659,503,581,104,78,0.9303265
1,2,car,554,658,503,581,104,78,0.92574996
2,2,car,555,658,503,582,103,79,0.8925061
3,2,car,555,658,503,581,103,78,0.929292
4,2,car,534,626,495,562,92,67,0.8566863
5,2,car,535,625,494,562,90,68,0.7970169
0,2,car,554,658,502,580,104,78,0.9461336
1,2,car,555,659,503,581,104,78,0.9303265
2,2,car,554,658,503,581,104,78,0.92574996
3,2,car,555,658,503,582,103,79,0.8925061
4,2,car,555,658,503,581,103,78,0.929292
5,2,car,534,626,495,562,92,67,0.8566863
6,2,car,535,625,494,562,90,68,0.7970169
0,2,car,556,659,503,582,103,79,0.93053794
1,2,car,554,658,502,580,104,78,0.9461336
2,2,car,555,659,503,581,104,78,0.9303265
3,2,car,554,658,503,581,104,78,0.92574996
4,2,car,555,658,503,582,103,79,0.8925061
5,2,car,555,658,503,581,103,78,0.929292
6,2,car,534,626,495,562,92,67,0.8566863
7,2,car,535,625,494,562,90,68,0.7970169
0,2,car,555,657,503,582,102,79,0.9235082
1,2,car,556,659,503,582,103,79,0.93053794
2,2,car,554,658,502,580,104,78,0.9461336
3,2,car,555,659,503,581,104,78,0.9303265
4,2,car,554,658,503,581,104,78,0.92574996
5,2,car,555,658,503,582,103,79,0.8925061
6,2,car,555,658,503,581,103,78,0.929292
7,2,car,534,626,495,562,92,67,0.8566863
8,2,car,535,625,494,562,90,68,0.7970169
0,2,car,554,658,504,580,104,76,0.9519661
1,2,car,555,657,503,582,102,79,0.9235082
2,2,car,556,659,503,582,103,79,0.93053794
3,2,car,554,658,502,580,104,78,0.9461336
4,2,car,555,659,503,581,104,78,0.9303265
5,2,car,554,658,503,581,104,78,0.92574996
6,2,car,555,658,503,582,103,79,0.8925061
7,2,car,555,658,503,581,103,78,0.929292
8,2,car,534,626,495,562,92,67,0.8566863
9,2,car,535,625,494,562,90,68,0.7970169
0,2,car,554,659,502,581,105,79,0.9425241
1,2,car,554,658,504,580,104,76,0.9519661
2,2,car,555,657,503,582,102,79,0.9235082
3,2,car,556,659,503,582,103,79,0.93053794
4,2,car,554,658,502,580,104,78,0.9461336
5,2,car,555,659,503,581,104,78,0.9303265
6,2,car,554,658,503,581,104,78,0.92574996
7,2,car,555,658,503,582,103,79,0.8925061
8,2,car,555,658,503,581,103,78,0.929292
9,2,car,534,626,495,562,92,67,0.8566863
10,2,car,535,625,494,562,90,68,0.7970169
0,2,car,555,657,501,581,102,80,0.9181192
1,2,car,554,659,502,581,105,79,0.9425241
2,2,car,554,658,504,580,104,76,0.9519661
3,2,car,555,657,503,582,102,79,0.9235082
4,2,car,556,659,503,582,103,79,0.93053794
5,2,car,554,658,502,580,104,78,0.9461336
6,2,car,555,659,503,581,104,78,0.9303265
7,2,car,554,658,503,581,104,78,0.92574996
8,2,car,555,658,503,582,103,79,0.8925061
9,2,car,555,658,503,581,103,78,0.929292
10,2,car,534,626,495,562,92,67,0.8566863
11,2,car,535,625,494,562,90,68,0.7970169
0,2,car,555,657,503,581,102,78,0.92308795
1,2,car,555,657,501,581,102,80,0.9181192
2,2,car,554,659,502,581,105,79,0.9425241
3,2,car,554,658,504,580,104,76,0.9519661
4,2,car,555,657,503,582,102,79,0.9235082
5,2,car,556,659,503,582,103,79,0.93053794
6,2,car,554,658,502,580,104,78,0.9461336
7,2,car,555,659,503,581,104,78,0.9303265
8,2,car,554,658,503,581,104,78,0.92574996
9,2,car,555,658,503,582,103,79,0.8925061
10,2,car,555,658,503,581,103,78,0.929292
11,2,car,534,626,495,562,92,67,0.8566863
12,2,car,535,625,494,562,90,68,0.7970169
0,2,car,554,658,502,582,104,80,0.95610386
1,2,car,555,657,503,581,102,78,0.92308795
2,2,car,555,657,501,581,102,80,0.9181192
3,2,car,554,659,502,581,105,79,0.9425241
4,2,car,554,658,504,580,104,76,0.9519661
5,2,car,555,657,503,582,102,79,0.9235082
6,2,car,556,659,503,582,103,79,0.93053794
7,2,car,554,658,502,580,104,78,0.9461336
8,2,car,555,659,503,581,104,78,0.9303265
9,2,car,554,658,503,581,104,78,0.92574996
10,2,car,555,658,503,582,103,79,0.8925061
11,2,car,555,658,503,581,103,78,0.929292
12,2,car,534,626,495,562,92,67,0.8566863
13,2,car,535,625,494,562,90,68,0.7970169
0,2,car,555,660,503,581,105,78,0.92712647
1,2,car,554,658,502,582,104,80,0.95610386
2,2,car,555,657,503,581,102,78,0.92308795
3,2,car,555,657,501,581,102,80,0.9181192
4,2,car,554,659,502,581,105,79,0.9425241
5,2,car,554,658,504,580,104,76,0.9519661
6,2,car,555,657,503,582,102,79,0.9235082
7,2,car,556,659,503,582,103,79,0.93053794
8,2,car,554,658,502,580,104,78,0.9461336
9,2,car,555,659,503,581,104,78,0.9303265
10,2,car,554,658,503,581,104,78,0.92574996
11,2,car,555,658,503,582,103,79,0.8925061
12,2,car,555,658,503,581,103,78,0.929292
13,2,car,534,626,495,562,92,67,0.8566863
14,2,car,535,625,494,562,90,68,0.7970169
0,2,car,554,658,503,582,104,79,0.94853437
1,2,car,555,660,503,581,105,78,0.92712647
2,2,car,554,658,502,582,104,80,0.95610386
3,2,car,555,657,503,581,102,78,0.92308795
4,2,car,555,657,501,581,102,80,0.9181192
5,2,car,554,659,502,581,105,79,0.9425241
6,2,car,554,658,504,580,104,76,0.9519661
7,2,car,555,657,503,582,102,79,0.9235082
8,2,car,556,659,503,582,103,79,0.93053794
9,2,car,554,658,502,580,104,78,0.9461336
10,2,car,555,659,503,581,104,78,0.9303265
11,2,car,554,658,503,581,104,78,0.92574996
12,2,car,555,658,503,582,103,79,0.8925061
13,2,car,555,658,503,581,103,78,0.929292
14,2,car,534,626,495,562,92,67,0.8566863
15,2,car,535,625,494,562,90,68,0.7970169
0,2,car,555,658,504,581,103,77,0.95985675
1,2,car,554,658,503,582,104,79,0.94853437
2,2,car,555,660,503,581,105,78,0.92712647
3,2,car,554,658,502,582,104,80,0.95610386
4,2,car,555,657,503,581,102,78,0.92308795
5,2,car,555,657,501,581,102,80,0.9181192
6,2,car,554,659,502,581,105,79,0.9425241
7,2,car,554,658,504,580,104,76,0.9519661
8,2,car,555,657,503,582,102,79,0.9235082
9,2,car,556,659,503,582,103,79,0.93053794
10,2,car,554,658,502,580,104,78,0.9461336
11,2,car,555,659,503,581,104,78,0.9303265
12,2,car,554,658,503,581,104,78,0.92574996
13,2,car,555,658,503,582,103,79,0.8925061
14,2,car,555,658,503,581,103,78,0.929292
15,2,car,534,626,495,562,92,67,0.8566863
16,2,car,535,625,494,562,90,68,0.7970169
0,2,car,555,658,503,582,103,79,0.93108857
1,2,car,555,658,504,581,103,77,0.95985675
2,2,car,554,658,503,582,104,79,0.94853437
3,2,car,555,660,503,581,105,78,0.92712647
4,2,car,554,658,502,582,104,80,0.95610386
5,2,car,555,657,503,581,102,78,0.92308795
6,2,car,555,657,501,581,102,80,0.9181192
7,2,car,554,659,502,581,105,79,0.9425241
8,2,car,554,658,504,580,104,76,0.9519661
9,2,car,555,657,503,582,102,79,0.9235082
10,2,car,556,659,503,582,103,79,0.93053794
11,2,car,554,658,502,580,104,78,0.9461336
12,2,car,555,659,503,581,104,78,0.9303265
13,2,car,554,658,503,581,104,78,0.92574996
14,2,car,555,658,503,582,103,79,0.8925061
15,2,car,555,658,503,581,103,78,0.929292
16,2,car,534,626,495,562,92,67,0.8566863
17,2,car,535,625,494,562,90,68,0.7970169
0,2,car,555,658,503,582,103,79,0.9463253
1,2,car,555,658,503,582,103,79,0.93108857
2,2,car,555,658,504,581,103,77,0.95985675
3,2,car,554,658,503,582,104,79,0.94853437
4,2,car,555,660,503,581,105,78,0.92712647
5,2,car,554,658,502,582,104,80,0.95610386
6,2,car,555,657,503,581,102,78,0.92308795
7,2,car,555,657,501,581,102,80,0.9181192
8,2,car,554,659,502,581,105,79,0.9425241
9,2,car,554,658,504,580,104,76,0.9519661
10,2,car,555,657,503,582,102,79,0.9235082
11,2,car,556,659,503,582,103,79,0.93053794
12,2,car,554,658,502,580,104,78,0.9461336
13,2,car,555,659,503,581,104,78,0.9303265
14,2,car,554,658,503,581,104,78,0.92574996
15,2,car,555,658,503,582,103,79,0.8925061
16,2,car,555,658,503,581,103,78,0.929292
17,2,car,534,626,495,562,92,67,0.8566863
18,2,car,535,625,494,562,90,68,0.7970169
0,2,car,555,659,503,581,104,78,0.94249153
1,2,car,555,658,503,582,103,79,0.9463253
2,2,car,555,658,503,582,103,79,0.93108857
3,2,car,555,658,504,581,103,77,0.95985675
4,2,car,554,658,503,582,104,79,0.94853437
5,2,car,555,660,503,581,105,78,0.92712647
6,2,car,554,658,502,582,104,80,0.95610386
7,2,car,555,657,503,581,102,78,0.92308795
8,2,car,555,657,501,581,102,80,0.9181192
9,2,car,554,659,502,581,105,79,0.9425241
10,2,car,554,658,504,580,104,76,0.9519661
11,2,car,555,657,503,582,102,79,0.9235082
12,2,car,556,659,503,582,103,79,0.93053794
13,2,car,554,658,502,580,104,78,0.9461336
14,2,car,555,659,503,581,104,78,0.9303265
15,2,car,554,658,503,581,104,78,0.92574996
16,2,car,555,658,503,582,103,79,0.8925061
17,2,car,555,658,503,581,103,78,0.929292
18,2,car,534,626,495,562,92,67,0.8566863
19,2,car,535,625,494,562,90,68,0.7970169
0,2,car,554,658,503,581,104,78,0.9452718
1,2,car,555,659,503,581,104,78,0.94249153
2,2,car,555,658,503,582,103,79,0.9463253
3,2,car,555,658,503,582,103,79,0.93108857
4,2,car,555,658,504,581,103,77,0.95985675
5,2,car,554,658,503,582,104,79,0.94853437
6,2,car,555,660,503,581,105,78,0.92712647
7,2,car,554,658,502,582,104,80,0.95610386
8,2,car,555,657,503,581,102,78,0.92308795
9,2,car,555,657,501,581,102,80,0.9181192
10,2,car,554,659,502,581,105,79,0.9425241
11,2,car,554,658,504,580,104,76,0.9519661
12,2,car,555,657,503,582,102,79,0.9235082
13,2,car,556,659,503,582,103,79,0.93053794
14,2,car,554,658,502,580,104,78,0.9461336
15,2,car,555,659,503,581,104,78,0.9303265
16,2,car,554,658,503,581,104,78,0.92574996
17,2,car,555,658,503,582,103,79,0.8925061
18,2,car,555,658,503,581,103,78,0.929292
19,2,car,534,626,495,562,92,67,0.8566863
20,2,car,535,625,494,562,90,68,0.7970169
0,2,car,554,657,504,580,103,76,0.94331545
1,2,car,554,658,503,581,104,78,0.9452718
2,2,car,555,659,503,581,104,78,0.94249153
3,2,car,555,658,503,582,103,79,0.9463253
4,2,car,555,658,503,582,103,79,0.93108857
5,2,car,555,658,504,581,103,77,0.95985675
6,2,car,554,658,503,582,104,79,0.94853437
7,2,car,555,660,503,581,105,78,0.92712647
8,2,car,554,658,502,582,104,80,0.95610386
9,2,car,555,657,503,581,102,78,0.92308795
10,2,car,555,657,501,581,102,80,0.9181192
11,2,car,554,659,502,581,105,79,0.9425241
12,2,car,554,658,504,580,104,76,0.9519661
13,2,car,555,657,503,582,102,79,0.9235082
14,2,car,556,659,503,582,103,79,0.93053794
15,2,car,554,658,502,580,104,78,0.9461336
16,2,car,555,659,503,581,104,78,0.9303265
17,2,car,554,658,503,581,104,78,0.92574996
18,2,car,555,658,503,582,103,79,0.8925061
19,2,car,555,658,503,581,103,78,0.929292
20,2,car,534,626,495,562,92,67,0.8566863
21,2,car,535,625,494,562,90,68,0.7970169
0,2,car,555,659,503,580,104,77,0.9616517
1,2,car,554,657,504,580,103,76,0.94331545
2,2,car,554,658,503,581,104,78,0.9452718
3,2,car,555,659,503,581,104,78,0.94249153
4,2,car,555,658,503,582,103,79,0.9463253
5,2,car,555,658,503,582,103,79,0.93108857
6,2,car,555,658,504,581,103,77,0.95985675
7,2,car,554,658,503,582,104,79,0.94853437
8,2,car,555,660,503,581,105,78,0.92712647
9,2,car,554,658,502,582,104,80,0.95610386
10,2,car,555,657,503,581,102,78,0.92308795
11,2,car,555,657,501,581,102,80,0.9181192
12,2,car,554,659,502,581,105,79,0.9425241
13,2,car,554,658,504,580,104,76,0.9519661
14,2,car,555,657,503,582,102,79,0.9235082
15,2,car,556,659,503,582,103,79,0.93053794
16,2,car,554,658,502,580,104,78,0.9461336
17,2,car,555,659,503,581,104,78,0.9303265
18,2,car,554,658,503,581,104,78,0.92574996
19,2,car,555,658,503,582,103,79,0.8925061
20,2,car,555,658,503,581,103,78,0.929292
21,2,car,534,626,495,562,92,67,0.8566863
22,2,car,535,625,494,562,90,68,0.7970169
0,2,car,555,658,503,582,103,79,0.9482678
1,2,car,555,659,503,580,104,77,0.9616517
2,2,car,554,657,504,580,103,76,0.94331545
3,2,car,554,658,503,581,104,78,0.9452718
4,2,car,555,659,503,581,104,78,0.94249153
5,2,car,555,658,503,582,103,79,0.9463253
6,2,car,555,658,503,582,103,79,0.93108857
7,2,car,555,658,504,581,103,77,0.95985675
8,2,car,554,658,503,582,104,79,0.94853437
9,2,car,555,660,503,581,105,78,0.92712647
10,2,car,554,658,502,582,104,80,0.95610386
11,2,car,555,657,503,581,102,78,0.92308795
12,2,car,555,657,501,581,102,80,0.9181192
13,2,car,554,659,502,581,105,79,0.9425241
14,2,car,554,658,504,580,104,76,0.9519661
15,2,car,555,657,503,582,102,79,0.9235082
16,2,car,556,659,503,582,103,79,0.93053794
17,2,car,554,658,502,580,104,78,0.9461336
18,2,car,555,659,503,581,104,78,0.9303265
19,2,car,554,658,503,581,104,78,0.92574996
20,2,car,555,658,503,582,103,79,0.8925061
21,2,car,555,658,503,581,103,78,0.929292
22,2,car,534,626,495,562,92,67,0.8566863
23,2,car,535,625,494,562,90,68,0.7970169
0,2,car,554,659,502,582,105,80,0.9461721
1,2,car,555,658,503,582,103,79,0.9482678
2,2,car,555,659,503,580,104,77,0.9616517
3,2,car,554,657,504,580,103,76,0.94331545
