,cid,label,left,right,top,bottom,width,height,score
0,2,car,503,589,510,565,86,55,0.91918004
0,2,car,502,588,510,564,86,54,0.90904
1,2,car,503,589,510,565,86,55,0.91918004
1,2,car,502,588,510,564,86,54,0.90904
2,2,car,503,589,510,565,86,55,0.91918004
2,2,car,502,588,510,564,86,54,0.90904
3,2,car,503,589,510,565,86,55,0.91918004
3,2,car,502,588,510,564,86,54,0.90904
4,2,car,503,589,510,565,86,55,0.91918004
4,2,car,502,588,510,564,86,54,0.90904
5,2,car,503,589,510,565,86,55,0.91918004
5,2,car,502,588,510,564,86,54,0.90904
6,2,car,503,589,510,565,86,55,0.91918004
6,2,car,502,588,510,564,86,54,0.90904
7,2,car,503,589,510,565,86,55,0.91918004
7,2,car,502,588,510,564,86,54,0.90904
8,2,car,503,589,510,565,86,55,0.91918004
8,2,car,502,588,510,564,86,54,0.90904
9,2,car,503,589,510,565,86,55,0.91918004
9,2,car,502,588,510,564,86,54,0.90904
10,2,car,503,589,510,565,86,55,0.91918004
10,2,car,502,588,510,564,86,54,0.90904
11,2,car,503,589,510,565,86,55,0.91918004
11,2,car,502,588,510,564,86,54,0.90904
12,2,car,503,589,510,565,86,55,0.91918004
12,2,car,502,588,510,564,86,54,0.90904
13,2,car,503,589,510,565,86,55,0.91918004
13,2,car,502,588,510,564,86,54,0.90904
14,2,car,503,589,510,565,86,55,0.91918004
14,2,car,502,588,510,564,86,54,0.90904
15,2,car,503,589,510,565,86,55,0.91918004
15,2,car,502,588,510,564,86,54,0.90904
16,2,car,503,589,510,565,86,55,0.91918004
16,2,car,502,588,510,564,86,54,0.90904
17,2,car,503,589,510,565,86,55,0.91918004
17,2,car,502,588,510,564,86,54,0.90904
18,2,car,503,589,510,565,86,55,0.91918004
18,2,car,502,588,510,564,86,54,0.90904
19,2,car,503,589,510,565,86,55,0.91918004
19,2,car,502,588,510,564,86,54,0.90904
20,2,car,503,589,510,565,86,55,0.91918004
20,2,car,502,588,510,564,86,54,0.90904
21,2,car,503,589,510,565,86,55,0.91918004
21,2,car,502,588,510,564,86,54,0.90904
22,2,car,503,589,510,565,86,55,0.91918004
22,2,car,502,588,510,564,86,54,0.90904
23,2,car,503,589,510,565,86,55,0.91918004
23,2,car,502,588,510,564,86,54,0.90904
24,2,car,503,589,510,565,86,55,0.91918004
24,2,car,502,588,510,564,86,54,0.90904
25,2,car,503,589,510,565,86,55,0.91918004
25,2,car,502,588,510,564,86,54,0.90904
26,2,car,503,589,510,565,86,55,0.91918004
26,2,car,502,588,510,564,86,54,0.90904
27,2,car,503,589,510,565,86,55,0.91918004
27,2,car,502,588,510,564,86,54,0.90904
28,2,car,503,589,510,565,86,55,0.91918004
28,2,car,502,588,510,564,86,54,0.90904
29,2,car,503,589,510,565,86,55,0.91918004
29,2,car,502,588,510,564,86,54,0.90904
30,2,car,503,589,510,565,86,55,0.91918004
30,2,car,502,588,510,564,86,54,0.90904
31,2,car,503,589,510,565,86,55,0.91918004
31,2,car,502,588,510,564,86,54,0.90904
32,2,car,503,589,510,565,86,55,0.91918004
32,2,car,502,588,510,564,86,54,0.90904
33,2,car,503,589,510,565,86,55,0.91918004
33,2,car,502,588,510,564,86,54,0.90904
34,2,car,503,589,510,565,86,55,0.91918004
34,2,car,502,588,510,564,86,54,0.90904
35,2,car,503,589,510,565,86,55,0.91918004
35,2,car,502,588,510,564,86,54,0.90904
36,2,car,503,589,510,565,86,55,0.91918004
36,2,car,502,588,510,564,86,54,0.90904
37,2,car,503,589,510,565,86,55,0.91918004
37,2,car,502,588,510,564,86,54,0.90904
38,2,car,503,589,510,565,86,55,0.91918004
38,2,car,502,588,510,564,86,54,0.90904
39,2,car,503,589,510,565,86,55,0.91918004
39,2,car,502,588,510,564,86,54,0.90904
40,2,car,503,589,510,565,86,55,0.91918004
40,2,car,502,588,510,564,86,54,0.90904
41,2,car,503,589,510,565,86,55,0.91918004
41,2,car,502,588,510,564,86,54,0.90904
42,2,car,503,589,510,565,86,55,0.91918004
42,2,car,502,588,510,564,86,54,0.90904
43,2,car,503,589,510,565,86,55,0.91918004
43,2,car,502,588,510,564,86,54,0.90904
44,2,car,503,589,510,565,86,55,0.91918004
