,cid,label,left,right,top,bottom,width,height,score
0,2,car,554,659,502,581,105,79,0.9425241
1,2,car,554,659,502,581,105,79,0.9425241
2,2,car,554,659,502,581,105,79,0.9425241
3,2,car,554,659,502,581,105,79,0.9425241
0,2,car,555,660,503,581,105,78,0.92712647
4,2,car,554,659,502,581,105,79,0.9425241
1,2,car,555,660,503,581,105,78,0.92712647
5,2,car,554,659,502,581,105,79,0.9425241
2,2,car,555,660,503,581,105,78,0.92712647
6,2,car,554,659,502,581,105,79,0.9425241
3,2,car,555,660,503,581,105,78,0.92712647
7,2,car,554,659,502,581,105,79,0.9425241
4,2,car,555,660,503,581,105,78,0.92712647
8,2,car,554,659,502,581,105,79,0.9425241
5,2,car,555,660,503,581,105,78,0.92712647
9,2,car,554,659,502,581,105,79,0.9425241
6,2,car,555,660,503,581,105,78,0.92712647
10,2,car,554,659,502,581,105,79,0.9425241
7,2,car,555,660,503,581,105,78,0.92712647
11,2,car,554,659,502,581,105,79,0.9425241
8,2,car,555,660,503,581,105,78,0.92712647
12,2,car,554,659,502,581,105,79,0.9425241
9,2,car,555,660,503,581,105,78,0.92712647
13,2,car,554,659,502,581,105,79,0.9425241
0,2,car,554,659,502,582,105,80,0.9461721
10,2,car,555,660,503,581,105,78,0.92712647
14,2,car,554,659,502,581,105,79,0.9425241
1,2,car,554,659,502,582,105,80,0.9461721
11,2,car,555,660,503,581,105,78,0.92712647
15,2,car,554,659,502,581,105,79,0.9425241
2,2,car,554,659,502,582,105,80,0.9461721
12,2,car,555,660,503,581,105,78,0.92712647
16,2,car,554,659,502,581,105,79,0.9425241
3,2,car,554,659,502,582,105,80,0.9461721
13,2,car,555,660,503,581,105,78,0.92712647
17,2,car,554,659,502,581,105,79,0.9425241
0,2,car,554,658,503,581,104,78,0.92574996
0,2,car,555,659,503,581,104,78,0.9303265
1,2,car,554,658,503,581,104,78,0.92574996
0,2,car,554,658,502,580,104,78,0.9461336
1,2,car,555,659,503,581,104,78,0.9303265
2,2,car,554,658,503,581,104,78,0.92574996
1,2,car,554,658,502,580,104,78,0.9461336
2,2,car,555,659,503,581,104,78,0.9303265
3,2,car,554,658,503,581,104,78,0.92574996
2,2,car,554,658,502,580,104,78,0.9461336
3,2,car,555,659,503,581,104,78,0.9303265
4,2,car,554,658,503,581,104,78,0.92574996
