,cid,label,left,right,top,bottom,width,height,score
0,2,car,648,904,484,619,256,135,0.92421466
0,2,car,648,906,483,619,258,136,0.9226811
1,2,car,648,904,484,619,256,135,0.92421466
0,2,car,497,694,475,621,197,146,0.8373276
1,2,car,648,906,483,619,258,136,0.9226811
2,2,car,648,904,484,619,256,135,0.92421466
0,2,car,495,696,475,623,201,148,0.8965327
1,2,car,497,694,475,621,197,146,0.8373276
2,2,car,648,906,483,619,258,136,0.9226811
3,2,car,648,904,484,619,256,135,0.92421466
0,2,car,486,688,473,622,202,149,0.8473843
1,2,car,495,696,475,623,201,148,0.8965327
2,2,car,497,694,475,621,197,146,0.8373276
3,2,car,648,906,483,619,258,136,0.9226811
4,2,car,648,904,484,619,256,135,0.92421466
0,2,car,495,695,477,622,200,145,0.86753035
1,2,car,486,688,473,622,202,149,0.8473843
2,2,car,495,696,475,623,201,148,0.8965327
3,2,car,497,694,475,621,197,146,0.8373276
4,2,car,648,906,483,619,258,136,0.9226811
5,2,car,648,904,484,619,256,135,0.92421466
0,2,car,487,687,474,622,200,148,0.8527921
1,2,car,495,695,477,622,200,145,0.86753035
2,2,car,486,688,473,622,202,149,0.8473843
3,2,car,495,696,475,623,201,148,0.8965327
4,2,car,497,694,475,621,197,146,0.8373276
5,2,car,648,906,483,619,258,136,0.9226811
6,2,car,648,904,484,619,256,135,0.92421466
0,2,car,487,688,473,622,201,149,0.8805194
1,2,car,487,687,474,622,200,148,0.8527921
2,2,car,495,695,477,622,200,145,0.86753035
3,2,car,486,688,473,622,202,149,0.8473843
4,2,car,495,696,475,623,201,148,0.8965327
5,2,car,497,694,475,621,197,146,0.8373276
6,2,car,648,906,483,619,258,136,0.9226811
7,2,car,648,904,484,619,256,135,0.92421466
0,2,car,485,689,472,622,204,150,0.86839044
1,2,car,487,688,473,622,201,149,0.8805194
2,2,car,487,687,474,622,200,148,0.8527921
3,2,car,495,695,477,622,200,145,0.86753035
4,2,car,486,688,473,622,202,149,0.8473843
5,2,car,495,696,475,623,201,148,0.8965327
6,2,car,497,694,475,621,197,146,0.8373276
7,2,car,648,906,483,619,258,136,0.9226811
8,2,car,648,904,484,619,256,135,0.92421466
0,2,car,494,696,476,622,202,146,0.8416226
1,2,car,485,689,472,622,204,150,0.86839044
2,2,car,487,688,473,622,201,149,0.8805194
3,2,car,487,687,474,622,200,148,0.8527921
4,2,car,495,695,477,622,200,145,0.86753035
5,2,car,486,688,473,622,202,149,0.8473843
6,2,car,495,696,475,623,201,148,0.8965327
7,2,car,497,694,475,621,197,146,0.8373276
8,2,car,648,906,483,619,258,136,0.9226811
9,2,car,648,904,484,619,256,135,0.92421466
0,2,car,489,686,474,621,197,147,0.7882149
1,2,car,494,696,476,622,202,146,0.8416226
2,2,car,485,689,472,622,204,150,0.86839044
3,2,car,487,688,473,622,201,149,0.8805194
4,2,car,487,687,474,622,200,148,0.8527921
5,2,car,495,695,477,622,200,145,0.86753035
6,2,car,486,688,473,622,202,149,0.8473843
7,2,car,495,696,475,623,201,148,0.8965327
8,2,car,497,694,475,621,197,146,0.8373276
9,2,car,648,906,483,619,258,136,0.9226811
10,2,car,648,904,484,619,256,135,0.92421466
0,2,car,496,694,476,622,198,146,0.8899702
1,2,car,489,686,474,621,197,147,0.7882149
2,2,car,494,696,476,622,202,146,0.8416226
3,2,car,485,689,472,622,204,150,0.86839044
4,2,car,487,688,473,622,201,149,0.8805194
5,2,car,487,687,474,622,200,148,0.8527921
6,2,car,495,695,477,622,200,145,0.86753035
7,2,car,486,688,473,622,202,149,0.8473843
8,2,car,495,696,475,623,201,148,0.8965327
9,2,car,497,694,475,621,197,146,0.8373276
10,2,car,648,906,483,619,258,136,0.9226811
11,2,car,648,904,484,619,256,135,0.92421466
0,2,car,495,695,475,623,200,148,0.86124814
1,2,car,496,694,476,622,198,146,0.8899702
2,2,car,489,686,474,621,197,147,0.7882149
3,2,car,494,696,476,622,202,146,0.8416226
4,2,car,485,689,472,622,204,150,0.86839044
5,2,car,487,688,473,622,201,149,0.8805194
6,2,car,487,687,474,622,200,148,0.8527921
7,2,car,495,695,477,622,200,145,0.86753035
8,2,car,486,688,473,622,202,149,0.8473843
9,2,car,495,696,475,623,201,148,0.8965327
10,2,car,497,694,475,621,197,146,0.8373276
11,2,car,648,906,483,619,258,136,0.9226811
12,2,car,648,904,484,619,256,135,0.92421466
0,2,car,495,696,477,621,201,144,0.87393224
1,2,car,495,695,475,623,200,148,0.86124814
2,2,car,496,694,476,622,198,146,0.8899702
3,2,car,489,686,474,621,197,147,0.7882149
4,2,car,494,696,476,622,202,146,0.8416226
5,2,car,485,689,472,622,204,150,0.86839044
6,2,car,487,688,473,622,201,149,0.8805194
7,2,car,487,687,474,622,200,148,0.8527921
8,2,car,495,695,477,622,200,145,0.86753035
9,2,car,486,688,473,622,202,149,0.8473843
10,2,car,495,696,475,623,201,148,0.8965327
11,2,car,497,694,475,621,197,146,0.8373276
12,2,car,648,906,483,619,258,136,0.9226811
13,2,car,648,904,484,619,256,135,0.92421466
0,2,car,496,695,477,623,199,146,0.8774695
1,2,car,495,696,477,621,201,144,0.87393224
2,2,car,495,695,475,623,200,148,0.86124814
3,2,car,496,694,476,622,198,146,0.8899702
4,2,car,489,686,474,621,197,147,0.7882149
5,2,car,494,696,476,622,202,146,0.8416226
6,2,car,485,689,472,622,204,150,0.86839044
7,2,car,487,688,473,622,201,149,0.8805194
8,2,car,487,687,474,622,200,148,0.8527921
9,2,car,495,695,477,622,200,145,0.86753035
10,2,car,486,688,473,622,202,149,0.8473843
11,2,car,495,696,475,623,201,148,0.8965327
12,2,car,497,694,475,621,197,146,0.8373276
13,2,car,648,906,483,619,258,136,0.9226811
14,2,car,648,904,484,619,256,135,0.92421466
0,2,car,495,695,475,622,200,147,0.83145946
1,2,car,496,695,477,623,199,146,0.8774695
2,2,car,495,696,477,621,201,144,0.87393224
3,2,car,495,695,475,623,200,148,0.86124814
4,2,car,496,694,476,622,198,146,0.8899702
5,2,car,489,686,474,621,197,147,0.7882149
6,2,car,494,696,476,622,202,146,0.8416226
7,2,car,485,689,472,622,204,150,0.86839044
8,2,car,487,688,473,622,201,149,0.8805194
9,2,car,487,687,474,622,200,148,0.8527921
10,2,car,495,695,477,622,200,145,0.86753035
11,2,car,486,688,473,622,202,149,0.8473843
12,2,car,495,696,475,623,201,148,0.8965327
13,2,car,497,694,475,621,197,146,0.8373276
14,2,car,648,906,483,619,258,136,0.9226811
15,2,car,648,904,484,619,256,135,0.92421466
0,2,car,494,696,476,622,202,146,0.74100906
1,2,car,495,695,475,622,200,147,0.83145946
2,2,car,496,695,477,623,199,146,0.8774695
3,2,car,495,696,477,621,201,144,0.87393224
4,2,car,495,695,475,623,200,148,0.86124814
5,2,car,496,694,476,622,198,146,0.8899702
6,2,car,489,686,474,621,197,147,0.7882149
7,2,car,494,696,476,622,202,146,0.8416226
8,2,car,485,689,472,622,204,150,0.86839044
9,2,car,487,688,473,622,201,149,0.8805194
10,2,car,487,687,474,622,200,148,0.8527921
11,2,car,495,695,477,622,200,145,0.86753035
12,2,car,486,688,473,622,202,149,0.8473843
13,2,car,495,696,475,623,201,148,0.8965327
14,2,car,497,694,475,621,197,146,0.8373276
15,2,car,648,906,483,619,258,136,0.9226811
16,2,car,648,904,484,619,256,135,0.92421466
0,2,car,496,694,477,622,198,145,0.86583734
1,2,car,494,696,476,622,202,146,0.74100906
2,2,car,495,695,475,622,200,147,0.83145946
3,2,car,496,695,477,623,199,146,0.8774695
4,2,car,495,696,477,621,201,144,0.87393224
5,2,car,495,695,475,623,200,148,0.86124814
6,2,car,496,694,476,622,198,146,0.8899702
